,matches,Chennai Super Kings_wins,Deccan Chargers_wins,Delhi Capitals_wins,Delhi Daredevils_wins,Gujarat Lions_wins,Gujarat Titans_wins,Kings XI Punjab_wins,Kochi Tuskers Kerala_wins,Kolkata Knight Riders_wins,Lucknow Super Giants_wins,Mumbai Indians_wins,Pune Warriors_wins,Punjab Kings_wins,Rajasthan Royals_wins,Rising Pune Supergiant_wins,Rising Pune Supergiants_wins,Royal Challengers Bangalore_wins,Royal Challengers Bengaluru_wins,Sunrisers Hyderabad_wins
Pune Warriors vs Rising Pune Supergiant,0.0,,,,,,,,,,,,0.0,,,0.0,,,,
Pune Warriors vs Rising Pune Supergiants,0.0,,,,,,,,,,,,0.0,,,,0.0,,,
Pune Warriors vs Royal Challengers Bangalore,5.0,,,,,,,,,,,,0.0,,,,,5.0,,
Pune Warriors vs Royal Challengers Bengaluru,0.0,,,,,,,,,,,,0.0,,,,,,0.0,
Pune Warriors vs Sunrisers Hyderabad,2.0,,,,,,,,,,,,0.0,,,,,,,2.0
Punjab Kings vs Rajasthan Royals,9.0,,,,,,,,,,,,,4.0,5.0,,,,,
Punjab Kings vs Rising Pune Supergiant,0.0,,,,,,,,,,,,,0.0,,0.0,,,,
Punjab Kings vs Rising Pune Supergiants,0.0,,,,,,,,,,,,,0.0,,,0.0,,,
Punjab Kings vs Royal Challengers Bangalore,5.0,,,,,,,,,,,,,3.0,,,,2.0,,
Punjab Kings vs Royal Challengers Bengaluru,6.0,,,,,,,,,,,,,1.0,,,,,5.0,
Punjab Kings vs Sunrisers Hyderabad,8.0,,,,,,,,,,,,,2.0,,,,,,6.0
Rajasthan Royals vs Rising Pune Supergiant,0.0,,,,,,,,,,,,,,0.0,0.0,,,,
Rajasthan Royals vs Rising Pune Supergiants,0.0,,,,,,,,,,,,,,0.0,,0.0,,,
Rajasthan Royals vs Royal Challengers Bangalore,27.0,,,,,,,,,,,,,,12.0,,,15.0,,
