,last_5_avg,last_10_avg,overall_avg,form,trend
NT Ellis,3.8,3.8,3.8,Average,Down
RV Patel,11.0,11.4,11.4,Average,Down
Anmolpreet Singh,15.8,15.4,15.4,Good,Up
Anuj Rawat,19.6,17.3,15.1,Excellent,Up
TH David,17.0,17.7,18.8,Average,Down
DP Conway,28.6,36.0,38.5,Poor,Down
R Powell,8.8,11.4,15.9,Poor,Down
Tilak Varma,19.4,24.1,29.2,Poor,Down
OF Smith,5.2,8.5,8.5,Poor,Down
PBB Rajapaksa,15.0,19.3,21.2,Poor,Down
A Badoni,39.6,32.5,20.1,Excellent,Up
A Manohar,12.2,14.0,14.6,Average,Down
MS Wade,11.6,13.5,13.2,Average,Down
PVD Chameera,4.2,5.3,5.3,Poor,Down
R Shepherd,13.2,14.7,14.9,Average,Down
DJ Willey,10.6,10.6,10.6,Average,Down
D Pretorius,8.8,8.8,8.8,Average,Down
JM Sharma,32.0,24.9,20.9,Excellent,Up
VG Arora,0.8,1.0,1.0,Poor,Down
Umran Malik,3.4,3.4,3.4,Average,Down
D Brevis,36.6,33.1,28.4,Excellent,Up
B Sai Sudharsan,51.0,48.6,44.4,Good,Up
Ramandeep Singh,3.8,9.1,10.6,Poor,Down
Akash Deep,5.0,5.0,5.0,Average,Down
JR Hazlewood,1.8,2.7,2.7,Poor,Down
SS Prabhudessai,11.8,12.6,12.6,Average,Down
Aman Hakim Khan,16.0,11.5,11.5,Excellent,Up
HR Shokeen,13.2,13.2,13.2,Average,Down
DJ Mitchell,24.0,23.8,23.4,Good,Up
Shashank Singh,27.2,24.2,23.4,Good,Up
Harshit Rana,9.6,5.9,5.9,Excellent,Up
Mohsin Khan,5.0,5.0,5.0,Average,Down
R Dhawan,8.8,9.0,9.5,Average,Down
M Theekshana,2.0,2.8,2.8,Poor,Down
Simarjeet Singh,1.6,1.7,1.7,Average,Down
AS Roy,4.4,3.7,3.7,Good,Up
T Stubbs,15.2,19.1,22.3,Poor,Down
PN Mankad,19.4,19.4,19.4,Average,Down
Rahmanullah Gurbaz,22.4,17.9,20.9,Good,Up
Sikandar Raza,20.6,20.2,20.2,Good,Up
KR Mayers,23.2,23.3,29.9,Poor,Down
Mukesh Kumar,2.0,2.0,2.0,Average,Down
RR Rossouw,10.6,22.8,21.4,Poor,Down
HC Brook,6.8,17.3,16.9,Poor,Down
Arshad Khan,4.6,11.9,11.9,Poor,Down
C Green,28.8,23.4,25.0,Good,Up
N Wadhera,17.8,21.8,23.2,Poor,Down
Abishek Porel,23.8,24.4,22.3,Good,Down
Dhruv Jurel,28.4,20.4,19.2,Excellent,Up
MW Short,23.2,19.5,19.5,Good,Up
Atharva Taide,29.6,26.0,26.0,Good,Up
Harpreet Singh,9.4,14.9,14.9,Poor,Down
WD Parnell,2.6,5.2,5.0,Poor,Down
PD Salt,38.0,29.7,30.9,Excellent,Up
D Wiese,9.2,13.6,13.6,Poor,Down
Noor Ahmad,1.4,1.9,1.8,Poor,Down
Sanvir Singh,5.0,5.0,5.0,Average,Down
R Ravindra,16.8,27.4,22.7,Poor,Down
SD Hope,23.0,20.3,20.3,Good,Up
MA Starc,5.0,7.8,5.5,Average,Down
Azmatullah Omarzai,11.4,11.0,11.0,Good,Up
G Coetzee,5.0,4.3,4.3,Good,Up
Naman Dhir,19.4,21.7,20.6,Average,Down
SH Johnson,1.6,1.6,1.6,Average,Down
Sameer Rizvi,27.2,19.1,19.1,Excellent,Up
SB Dubey,12.4,13.0,12.5,Average,Down
A Raghuvanshi,26.0,27.0,25.7,Good,Down
Ashutosh Sharma,16.2,17.5,20.7,Poor,Down
